PAN_NO,TARGET_NO,CALL_TYPE,TOC,B_PARTY,LRN_NO,LRN_TSP,CALL_TIME,DURATION,FIRST_CGI,FIRST_LAT,FIRST_LON,LAST_CGI,LAST_LAT,LAST_LON,SMSC_NO,IMEI,IMSI,CALL_FWD,ROAM_NO,SW4MSCID,IN_TG,OUT_TG
PAN500008,9170000002,MO,VOICE,9300000008,5500000008,JIO,2026-10-10 01:27:00,0,CGI80004,26.95670,75.74210,CGI80004,26.95670,75.74210,919890051914,356000000000102,404450000000102,,HOME,MSC2202,TG114,TG108
PAN500009,9170000002,MO,VOICE,9300000009,5500000009,AIRTEL,2026-10-10 01:38:00,0,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919810051914,356000000000102,404450000000102,,HOME,MSC2202,TG106,TG114
PAN500444,9170000005,MT,VOICE,9170000004,5570000004,JIO,2026-10-10 01:46:00,73,CGI80011,27.00410,75.77940,CGI80011,27.00410,75.77940,919890051914,356000000000105,404450000000105,9876500005,DELHI,MSC2202,TG117,TG120
PAN500010,9170000002,MO,VOICE,9300000010,5500000010,AIRTEL,2026-10-10 01:49:00,0,CGI80002,26.93510,75.80120,CGI80002,26.93510,75.80120,919810051914,356000000000102,404450000000102,,HOME,MSC2202,TG112,TG109
PAN500011,9170000002,MO,VOICE,9300000011,5500000011,BSNL,2026-10-10 02:00:00,0,CGI80003,26.88450,75.81270,CGI80003,26.88450,75.81270,919440051914,356000000000102,404450000000102,,HOME,MSC2202,TG119,TG104
PAN500012,9170000002,MO,VOICE,9300000012,5500000012,BSNL,2026-10-10 02:11:00,0,CGI80004,26.95670,75.74210,CGI80004,26.95670,75.74210,919440051914,356000000000102,404450000000102,,HOME,MSC2202,TG119,TG106
PAN500445,9170000005,MT,VOICE,9812222200,5512222200,BSNL,2026-10-10 02:18:00,74,CGI80012,26.81230,75.73550,CGI80012,26.81230,75.73550,919440051914,356000000000105,404450000000105,9876500005,MUMBAI,MSC2202,TG120,TG107
PAN500013,9170000002,MO,VOICE,9300000013,5500000013,AIRTEL,2026-10-10 02:22:00,0,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919810051914,356000000000102,404450000000102,,HOME,MSC4404,TG109,TG103
PAN500014,9170000002,MO,VOICE,9300000014,5500000014,BSNL,2026-10-10 02:33:00,0,CGI80002,26.93510,75.80120,CGI80002,26.93510,75.80120,919440051914,356000000000102,404450000000102,,HOME,MSC3303,TG114,TG105
PAN500015,9170000002,MO,VOICE,9300000015,5500000015,VI,2026-10-10 02:44:00,0,CGI80003,26.88450,75.81270,CGI80003,26.88450,75.81270,919820051914,356000000000102,404450000000102,,HOME,MSC2202,TG117,TG113
PAN500446,9170000005,MT,VOICE,9170000001,5570000001,JIO,2026-10-10 02:50:00,75,CGI80013,26.94740,75.87310,CGI80013,26.94740,75.87310,919890051914,356000000000105,404450000000105,9876500005,UP-EAST,MSC2202,TG117,TG120
PAN500016,9170000002,MO,VOICE,9300000016,5500000016,BSNL,2026-10-10 02:55:00,0,CGI80004,26.95670,75.74210,CGI80004,26.95670,75.74210,919440051914,356000000000102,404450000000102,,HOME,MSC1101,TG102,TG116
PAN500017,9170000002,MO,VOICE,9300000017,5500000017,AIRTEL,2026-10-10 03:06:00,0,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919810051914,356000000000102,404450000000102,,HOME,MSC4404,TG115,TG106
PAN500018,9170000002,MO,VOICE,9300000018,5500000018,VI,2026-10-10 03:17:00,0,CGI80002,26.93510,75.80120,CGI80002,26.93510,75.80120,919820051914,356000000000102,404450000000102,,HOME,MSC3303,TG109,TG117
PAN500447,9170000005,MT,VOICE,9170000002,5570000002,BSNL,2026-10-10 03:22:00,76,CGI80011,27.00410,75.77940,CGI80011,27.00410,75.77940,919440051914,356000000000105,404450000000105,9876500005,DELHI,MSC1101,TG113,TG113
PAN500019,9170000002,MO,VOICE,9300000019,5500000019,BSNL,2026-10-10 03:28:00,0,CGI80003,26.88450,75.81270,CGI80003,26.88450,75.81270,919440051914,356000000000102,404450000000102,,HOME,MSC3303,TG119,TG120
PAN500020,9170000002,MO,VOICE,9300000020,5500000020,BSNL,2026-10-10 03:39:00,0,CGI80004,26.95670,75.74210,CGI80004,26.95670,75.74210,919440051914,356000000000102,404450000000102,,HOME,MSC2202,TG103,TG118
PAN500021,9170000002,MO,VOICE,9300000021,5500000021,BSNL,2026-10-10 03:50:00,0,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919440051914,356000000000102,404450000000102,,HOME,MSC4404,TG107,TG116
PAN500448,9170000005,MT,VOICE,9170000003,5570000003,AIRTEL,2026-10-10 03:54:00,77,CGI80012,26.81230,75.73550,CGI80012,26.81230,75.73550,919810051914,356000000000105,404450000000105,9876500005,MUMBAI,MSC2202,TG109,TG101
PAN500022,9170000002,MO,VOICE,9300000022,5500000022,AIRTEL,2026-10-10 04:01:00,0,CGI80002,26.93510,75.80120,CGI80002,26.93510,75.80120,919810051914,356000000000102,404450000000102,,HOME,MSC4404,TG116,TG105
PAN500023,9170000002,MO,VOICE,9300000023,5500000023,VI,2026-10-10 04:12:00,0,CGI80003,26.88450,75.81270,CGI80003,26.88450,75.81270,919820051914,356000000000102,404450000000102,,HOME,MSC1101,TG120,TG113
PAN500024,9170000002,MO,VOICE,9300000024,5500000024,VI,2026-10-10 04:23:00,0,CGI80004,26.95670,75.74210,CGI80004,26.95670,75.74210,919820051914,356000000000102,404450000000102,,HOME,MSC3303,TG118,TG107
PAN500025,9170000002,MO,VOICE,9300000025,5500000025,VI,2026-10-10 04:34:00,0,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919820051914,356000000000102,404450000000102,,HOME,MSC4404,TG105,TG114
PAN500401,9170000004,MT,VOICE,9170000001,5570000001,AIRTEL,2026-10-10 05:00:00,40,CGI80008,26.83010,75.80650,CGI80008,26.83010,75.80650,919810051914,356000000000999,404450000000401,,HOME,MSC4404,TG112,TG113
PAN500402,9170000004,MO,VOICE,9170000002,5570000002,BSNL,2026-10-10 05:50:00,41,CGI80009,26.92180,75.70630,CGI80009,26.92180,75.70630,919440051914,356000000000401,404450000000401,,HOME,MSC4404,TG112,TG112
PAN500403,9170000004,MO,VOICE,9170000003,5570000003,JIO,2026-10-10 06:40:00,42,CGI80010,26.88970,75.88920,CGI80010,26.88970,75.88920,919890051914,356000000000402,404450000000401,,HOME,MSC1101,TG103,TG105
PAN500404,9170000004,MT,VOICE,9170000005,5570000005,BSNL,2026-10-10 07:30:00,43,CGI80008,26.83010,75.80650,CGI80008,26.83010,75.80650,919440051914,356000000000403,404450000000401,,HOME,MSC3303,TG110,TG109
PAN500231,9170000003,SMS-MO,SMS,9170000002,5570000002,JIO,2026-10-10 08:00:00,0,CGI80005,26.86120,75.75980,CGI80005,26.86120,75.75980,919890051914,356000000000103,404450000000103,,HOME,MSC4404,TG109,TG114
PAN500326,9170000001,MT,VOICE,9170000002,5570000002,AIRTEL,2026-10-10 08:00:00,90,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919810051914,356000000000101,404450000000101,,HOME,MSC1101,TG103,TG111
PAN500405,9170000004,MO,VOICE,9300000252,5500000252,VI,2026-10-10 08:20:00,44,CGI80009,26.92180,75.70630,CGI80009,26.92180,75.70630,919820051914,356000000000404,404450000000401,,HOME,MSC3303,TG104,TG112
PAN500232,9170000003,SMS-MO,SMS,9170000004,5570000004,VI,2026-10-10 08:22:00,0,CGI80006,26.90230,75.84310,CGI80006,26.90230,75.84310,919820051914,356000000000103,404450000000103,,HOME,MSC3303,TG106,TG116
PAN500233,9170000003,SMS-MO,SMS,9170000006,5570000006,AIRTEL,2026-10-10 08:44:00,0,CGI80007,26.97820,75.83240,CGI80007,26.97820,75.83240,919810051914,356000000000103,404450000000103,,HOME,MSC4404,TG104,TG101
PAN500449,9170000005,MT,VOICE,9170000004,5570000004,VI,2026-10-10 09:00:00,78,CGI80013,26.94740,75.87310,CGI80013,26.94740,75.87310,919820051914,356000000000105,404450000000105,9876500005,UP-EAST,MSC3303,TG103,TG107
PAN500327,9170000001,MT,VOICE,9170000005,5570000005,JIO,2026-10-10 09:05:00,105,CGI80002,26.93510,75.80120,CGI80002,26.93510,75.80120,919890051914,356000000000101,404450000000101,,HOME,MSC3303,TG113,TG104
PAN500234,9170000003,SMS-MO,SMS,9170000007,5570000007,VI,2026-10-10 09:06:00,0,CGI80005,26.86120,75.75980,CGI80005,26.86120,75.75980,919820051914,356000000000103,404450000000103,,HOME,MSC3303,TG106,TG119
PAN500406,9170000004,MO,VOICE,9170000001,5570000001,BSNL,2026-10-10 09:10:00,45,CGI80010,26.88970,75.88920,CGI80010,26.88970,75.88920,919440051914,356000000000999,404450000000401,,HOME,MSC4404,TG119,TG120
PAN500235,9170000003,SMS-MO,SMS,9300000173,5500000173,JIO,2026-10-10 09:28:00,0,CGI80006,26.90230,75.84310,CGI80006,26.90230,75.84310,919890051914,356000000000103,404450000000103,,HOME,MSC4404,TG101,TG113
PAN500236,9170000003,SMS-MO,SMS,9300000174,5500000174,VI,2026-10-10 09:50:00,0,CGI80007,26.97820,75.83240,CGI80007,26.97820,75.83240,919820051914,356000000000103,404450000000103,,HOME,MSC2202,TG112,TG106
PAN500407,9170000004,MT,VOICE,9170000002,5570000002,JIO,2026-10-10 10:00:00,46,CGI80008,26.83010,75.80650,CGI80008,26.83010,75.80650,919890051914,356000000000401,404450000000401,,HOME,MSC2202,TG117,TG114
PAN500491,9170000009,MT,VOICE,9170000001,5570000001,JIO,2026-10-10 10:00:00,120,CGI80014,26.87020,75.69250,CGI80014,26.87020,75.69250,919890051914,356000000000999,404450000000509,,HOME,MSC4404,TG102,TG110
PAN500328,9170000001,MT,VOICE,9811111111,5511111111,AIRTEL,2026-10-10 10:10:00,120,CGI80003,26.88450,75.81270,CGI80003,26.88450,75.81270,919810051914,356000000000101,404450000000101,,HOME,MSC1101,TG103,TG110
PAN500237,9170000003,SMS-MO,SMS,9300000175,5500000175,BSNL,2026-10-10 10:12:00,0,CGI80005,26.86120,75.75980,CGI80005,26.86120,75.75980,919440051914,356000000000103,404450000000103,,HOME,MSC1101,TG119,TG107
PAN500238,9170000003,SMS-MO,SMS,9300000176,5500000176,BSNL,2026-10-10 10:34:00,0,CGI80006,26.90230,75.84310,CGI80006,26.90230,75.84310,919440051914,356000000000103,404450000000103,,HOME,MSC2202,TG116,TG115
PAN500408,9170000004,MO,VOICE,9170000003,5570000003,VI,2026-10-10 10:50:00,47,CGI80009,26.92180,75.70630,CGI80009,26.92180,75.70630,919820051914,356000000000402,404450000000401,,HOME,MSC1101,TG102,TG120
PAN500450,9170000005,MT,VOICE,9812222200,5512222200,JIO,2026-10-10 10:54:00,79,CGI80011,27.00410,75.77940,CGI80011,27.00410,75.77940,919890051914,356000000000105,404450000000105,9876500005,DELHI,MSC4404,TG114,TG106
PAN500239,9170000003,SMS-MO,SMS,9300000177,5500000177,JIO,2026-10-10 10:56:00,0,CGI80007,26.97820,75.83240,CGI80007,26.97820,75.83240,919890051914,356000000000103,404450000000103,,HOME,MSC2202,TG106,TG106
PAN500329,9170000001,MT,VOICE,9170000002,5570000002,AIRTEL,2026-10-10 11:15:00,135,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919810051914,356000000000101,404450000000101,,HOME,MSC4404,TG115,TG101
PAN500240,9170000003,SMS-MO,SMS,9300000178,5500000178,AIRTEL,2026-10-10 11:18:00,0,CGI80005,26.86120,75.75980,CGI80005,26.86120,75.75980,919810051914,356000000000103,404450000000103,,HOME,MSC4404,TG120,TG101
PAN500241,9170000003,SMS-MO,SMS,9300000179,5500000179,AIRTEL,2026-10-10 11:40:00,0,CGI80006,26.90230,75.84310,CGI80006,26.90230,75.84310,919810051914,356000000000103,404450000000103,,HOME,MSC3303,TG104,TG102
PAN500409,9170000004,MO,VOICE,9170000005,5570000005,BSNL,2026-10-10 11:40:00,48,CGI80010,26.88970,75.88920,CGI80010,26.88970,75.88920,919440051914,356000000000403,404450000000401,,HOME,MSC3303,TG106,TG118
PAN500476,9170000006,MO,VOICE,9170000001,5570000001,AIRTEL,2026-10-10 12:00:00,100,CGI80014,26.87020,75.69250,CGI80014,26.87020,75.69250,919810051914,356000000000999,404450000000501,,HOME,MSC3303,TG118,TG120
PAN500492,9170000009,MT,VOICE,9170000002,5570000002,BSNL,2026-10-10 12:00:00,121,CGI80014,26.87020,75.69250,CGI80014,26.87020,75.69250,919440051914,356000000000999,404450000000509,,HOME,MSC2202,TG104,TG111
PAN500242,9170000003,SMS-MO,SMS,9300000180,5500000180,AIRTEL,2026-10-10 12:02:00,0,CGI80007,26.97820,75.83240,CGI80007,26.97820,75.83240,919810051914,356000000000103,404450000000103,,HOME,MSC2202,TG107,TG114
PAN500330,9170000001,MT,VOICE,9170000005,5570000005,VI,2026-10-10 12:20:00,150,CGI80002,26.93510,75.80120,CGI80002,26.93510,75.80120,919820051914,356000000000101,404450000000101,,HOME,MSC1101,TG114,TG113
PAN500243,9170000003,SMS-MO,SMS,9300000181,5500000181,AIRTEL,2026-10-10 12:24:00,0,CGI80005,26.86120,75.75980,CGI80005,26.86120,75.75980,919810051914,356000000000103,404450000000103,,HOME,MSC4404,TG111,TG118
PAN500481,9170000007,MO,VOICE,9170000001,5570000001,AIRTEL,2026-10-10 12:25:00,100,CGI80014,26.87020,75.69250,CGI80014,26.87020,75.69250,919810051914,356000000000999,404450000000502,,HOME,MSC3303,TG111,TG118
PAN500410,9170000004,MT,VOICE,9300000257,5500000257,AIRTEL,2026-10-10 12:30:00,49,CGI80008,26.83010,75.80650,CGI80008,26.83010,75.80650,919810051914,356000000000404,404450000000401,,HOME,MSC1101,TG111,TG110
PAN500244,9170000003,SMS-MO,SMS,9300000182,5500000182,BSNL,2026-10-10 12:46:00,0,CGI80006,26.90230,75.84310,CGI80006,26.90230,75.84310,919440051914,356000000000103,404450000000103,,HOME,MSC1101,TG104,TG105
PAN500451,9170000005,MT,VOICE,9170000001,5570000001,VI,2026-10-10 12:48:00,80,CGI80012,26.81230,75.73550,CGI80012,26.81230,75.73550,919820051914,356000000000105,404450000000105,9876500005,MUMBAI,MSC1101,TG103,TG112
PAN500486,9170000008,MO,VOICE,9170000001,5570000001,AIRTEL,2026-10-10 12:50:00,100,CGI80014,26.87020,75.69250,CGI80014,26.87020,75.69250,919810051914,356000000000999,404450000000503,,HOME,MSC2202,TG111,TG105
PAN500245,9170000003,SMS-MO,SMS,9300000183,5500000183,JIO,2026-10-10 13:08:00,0,CGI80007,26.97820,75.83240,CGI80007,26.97820,75.83240,919890051914,356000000000103,404450000000103,,HOME,MSC1101,TG111,TG106
PAN500411,9170000004,MO,VOICE,9170000001,5570000001,JIO,2026-10-10 13:20:00,50,CGI80009,26.92180,75.70630,CGI80009,26.92180,75.70630,919890051914,356000000000999,404450000000401,,HOME,MSC2202,TG105,TG103
PAN500331,9170000001,MT,VOICE,9811111111,5511111111,BSNL,2026-10-10 13:25:00,165,CGI80003,26.88450,75.81270,CGI80003,26.88450,75.81270,919440051914,356000000000101,404450000000101,,HOME,MSC1101,TG114,TG109
PAN500246,9170000003,SMS-MO,SMS,9300000184,5500000184,AIRTEL,2026-10-10 13:30:00,0,CGI80005,26.86120,75.75980,CGI80005,26.86120,75.75980,919810051914,356000000000103,404450000000103,,HOME,MSC4404,TG109,TG102
PAN500247,9170000003,SMS-MO,SMS,9300000185,5500000185,BSNL,2026-10-10 13:52:00,0,CGI80006,26.90230,75.84310,CGI80006,26.90230,75.84310,919440051914,356000000000103,404450000000103,,HOME,MSC1101,TG111,TG106
PAN500493,9170000009,MT,VOICE,9300000290,5500000290,AIRTEL,2026-10-10 14:00:00,122,CGI80014,26.87020,75.69250,CGI80014,26.87020,75.69250,919810051914,356000000000999,404450000000509,,HOME,MSC1101,TG103,TG103
PAN500412,9170000004,MO,VOICE,9170000002,5570000002,JIO,2026-10-10 14:10:00,51,CGI80010,26.88970,75.88920,CGI80010,26.88970,75.88920,919890051914,356000000000401,404450000000401,,HOME,MSC1101,TG116,TG101
PAN500248,9170000003,SMS-MO,SMS,9300000186,5500000186,AIRTEL,2026-10-10 14:14:00,0,CGI80007,26.97820,75.83240,CGI80007,26.97820,75.83240,919810051914,356000000000103,404450000000103,,HOME,MSC2202,TG118,TG106
PAN500332,9170000001,MT,VOICE,9170000002,5570000002,JIO,2026-10-10 14:30:00,180,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919890051914,356000000000101,404450000000101,,HOME,MSC3303,TG110,TG112
PAN500249,9170000003,SMS-MO,SMS,9300000187,5500000187,AIRTEL,2026-10-10 14:36:00,0,CGI80005,26.86120,75.75980,CGI80005,26.86120,75.75980,919810051914,356000000000103,404450000000103,,HOME,MSC2202,TG118,TG106
PAN500452,9170000005,MT,VOICE,9170000002,5570000002,JIO,2026-10-10 14:42:00,81,CGI80013,26.94740,75.87310,CGI80013,26.94740,75.87310,919890051914,356000000000105,404450000000105,9876500005,UP-EAST,MSC1101,TG109,TG112
PAN500250,9170000003,SMS-MO,SMS,9300000188,5500000188,AIRTEL,2026-10-10 14:58:00,0,CGI80006,26.90230,75.84310,CGI80006,26.90230,75.84310,919810051914,356000000000103,404450000000103,,HOME,MSC1101,TG106,TG108
PAN500413,9170000004,MT,VOICE,9170000003,5570000003,JIO,2026-10-10 15:00:00,52,CGI80008,26.83010,75.80650,CGI80008,26.83010,75.80650,919890051914,356000000000402,404450000000401,,HOME,MSC4404,TG120,TG107
PAN500251,9170000003,SMS-MO,SMS,9300000189,5500000189,VI,2026-10-10 15:20:00,0,CGI80007,26.97820,75.83240,CGI80007,26.97820,75.83240,919820051914,356000000000103,404450000000103,,HOME,MSC1101,TG110,TG109
PAN500333,9170000001,MT,VOICE,9170000005,5570000005,BSNL,2026-10-10 15:35:00,195,CGI80002,26.93510,75.80120,CGI80002,26.93510,75.80120,919440051914,356000000000101,404450000000101,,HOME,MSC2202,TG116,TG112
PAN500252,9170000003,SMS-MO,SMS,9300000190,5500000190,JIO,2026-10-10 15:42:00,0,CGI80005,26.86120,75.75980,CGI80005,26.86120,75.75980,919890051914,356000000000103,404450000000103,,HOME,MSC4404,TG110,TG106
PAN500414,9170000004,MO,VOICE,9170000005,5570000005,BSNL,2026-10-10 15:50:00,53,CGI80009,26.92180,75.70630,CGI80009,26.92180,75.70630,919440051914,356000000000403,404450000000401,,HOME,MSC1101,TG114,TG111
PAN500494,9170000009,MT,VOICE,9170000001,5570000001,AIRTEL,2026-10-10 16:00:00,123,CGI80014,26.87020,75.69250,CGI80014,26.87020,75.69250,919810051914,356000000000999,404450000000509,,HOME,MSC2202,TG115,TG114
PAN500253,9170000003,SMS-MO,SMS,9300000191,5500000191,AIRTEL,2026-10-10 16:04:00,0,CGI80006,26.90230,75.84310,CGI80006,26.90230,75.84310,919810051914,356000000000103,404450000000103,,HOME,MSC4404,TG107,TG119
PAN500254,9170000003,SMS-MO,SMS,9300000192,5500000192,AIRTEL,2026-10-10 16:26:00,0,CGI80007,26.97820,75.83240,CGI80007,26.97820,75.83240,919810051914,356000000000103,404450000000103,,HOME,MSC1101,TG110,TG116
PAN500453,9170000005,MT,VOICE,9170000003,5570000003,BSNL,2026-10-10 16:36:00,82,CGI80011,27.00410,75.77940,CGI80011,27.00410,75.77940,919440051914,356000000000105,404450000000105,9876500005,DELHI,MSC1101,TG102,TG103
PAN500334,9170000001,MO,VOICE,9811111111,5511111111,JIO,2026-10-10 16:40:00,210,CGI80003,26.88450,75.81270,CGI80003,26.88450,75.81270,919890051914,356000000000101,404450000000101,,HOME,MSC2202,TG104,TG105
PAN500415,9170000004,MO,VOICE,9300000262,5500000262,BSNL,2026-10-10 16:40:00,54,CGI80010,26.88970,75.88920,CGI80010,26.88970,75.88920,919440051914,356000000000404,404450000000401,,HOME,MSC1101,TG107,TG106
PAN500255,9170000003,SMS-MO,SMS,9170000002,5570000002,BSNL,2026-10-10 16:48:00,0,CGI80005,26.86120,75.75980,CGI80005,26.86120,75.75980,919440051914,356000000000103,404450000000103,,HOME,MSC4404,TG111,TG113
PAN500256,9170000003,SMS-MO,SMS,9170000004,5570000004,JIO,2026-10-10 17:10:00,0,CGI80006,26.90230,75.84310,CGI80006,26.90230,75.84310,919890051914,356000000000103,404450000000103,,HOME,MSC1101,TG117,TG120
PAN500416,9170000004,MT,VOICE,9170000001,5570000001,VI,2026-10-10 17:30:00,55,CGI80008,26.83010,75.80650,CGI80008,26.83010,75.80650,919820051914,356000000000999,404450000000401,,HOME,MSC2202,TG101,TG117
PAN500257,9170000003,SMS-MO,SMS,9170000006,5570000006,VI,2026-10-10 17:32:00,0,CGI80007,26.97820,75.83240,CGI80007,26.97820,75.83240,919820051914,356000000000103,404450000000103,,HOME,MSC2202,TG109,TG102
PAN500335,9170000001,MO,VOICE,9170000002,5570000002,VI,2026-10-10 17:45:00,225,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919820051914,356000000000101,404450000000101,,HOME,MSC3303,TG113,TG118
PAN500258,9170000003,SMS-MO,SMS,9170000007,5570000007,JIO,2026-10-10 17:54:00,0,CGI80005,26.86120,75.75980,CGI80005,26.86120,75.75980,919890051914,356000000000103,404450000000103,,HOME,MSC1101,TG108,TG117
PAN500495,9170000009,MO,VOICE,9170000002,5570000002,AIRTEL,2026-10-10 18:00:00,124,CGI80014,26.87020,75.69250,CGI80014,26.87020,75.69250,919810051914,356000000000999,404450000000509,,HOME,MSC4404,TG106,TG114
PAN500259,9170000003,SMS-MO,SMS,9300000173,5500000173,JIO,2026-10-10 18:16:00,0,CGI80006,26.90230,75.84310,CGI80006,26.90230,75.84310,919890051914,356000000000103,404450000000103,,HOME,MSC2202,TG111,TG104
PAN500417,9170000004,MO,VOICE,9170000002,5570000002,JIO,2026-10-10 18:20:00,56,CGI80009,26.92180,75.70630,CGI80009,26.92180,75.70630,919890051914,356000000000401,404450000000401,,HOME,MSC2202,TG120,TG110
PAN500454,9170000005,MT,VOICE,9170000004,5570000004,VI,2026-10-10 18:30:00,83,CGI80012,26.81230,75.73550,CGI80012,26.81230,75.73550,919820051914,356000000000105,404450000000105,9876500005,MUMBAI,MSC4404,TG102,TG118
PAN500260,9170000003,SMS-MO,SMS,9300000174,5500000174,VI,2026-10-10 18:38:00,0,CGI80007,26.97820,75.83240,CGI80007,26.97820,75.83240,919820051914,356000000000103,404450000000103,,HOME,MSC2202,TG120,TG109
PAN500418,9170000004,MO,VOICE,9170000003,5570000003,JIO,2026-10-10 19:10:00,57,CGI80010,26.88970,75.88920,CGI80010,26.88970,75.88920,919890051914,356000000000402,404450000000401,,HOME,MSC3303,TG104,TG110
PAN500419,9170000004,MT,VOICE,9170000005,5570000005,VI,2026-10-10 20:00:00,58,CGI80008,26.83010,75.80650,CGI80008,26.83010,75.80650,919820051914,356000000000403,404450000000401,,HOME,MSC1101,TG103,TG107
PAN500455,9170000005,MT,VOICE,9812222200,5512222200,VI,2026-10-10 20:24:00,84,CGI80013,26.94740,75.87310,CGI80013,26.94740,75.87310,919820051914,356000000000105,404450000000105,9876500005,UP-EAST,MSC2202,TG115,TG104
PAN500420,9170000004,MO,VOICE,9300000267,5500000267,AIRTEL,2026-10-10 20:50:00,59,CGI80009,26.92180,75.70630,CGI80009,26.92180,75.70630,919810051914,356000000000404,404450000000401,,HOME,MSC2202,TG110,TG108
PAN500026,9170000002,MO,VOICE,9300000026,5500000026,VI,2026-10-11 00:00:00,0,CGI80002,26.93510,75.80120,CGI80002,26.93510,75.80120,919820051914,356000000000102,404450000000102,,HOME,MSC4404,TG101,TG111
PAN500027,9170000002,MO,VOICE,9300000027,5500000027,JIO,2026-10-11 00:00:22,0,CGI80003,26.88450,75.81270,CGI80003,26.88450,75.81270,919890051914,356000000000102,404450000000102,,HOME,MSC2202,TG113,TG108
PAN500028,9170000002,MO,VOICE,9300000028,5500000028,JIO,2026-10-11 00:00:44,0,CGI80004,26.95670,75.74210,CGI80004,26.95670,75.74210,919890051914,356000000000102,404450000000102,,HOME,MSC1101,TG113,TG102
PAN500029,9170000002,MO,VOICE,9300000029,5500000029,AIRTEL,2026-10-11 00:01:06,0,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919810051914,356000000000102,404450000000102,,HOME,MSC3303,TG120,TG120
PAN500030,9170000002,MO,VOICE,9300000030,5500000030,JIO,2026-10-11 00:01:28,0,CGI80002,26.93510,75.80120,CGI80002,26.93510,75.80120,919890051914,356000000000102,404450000000102,,HOME,MSC4404,TG103,TG115
PAN500031,9170000002,MO,VOICE,9300000031,5500000031,AIRTEL,2026-10-11 00:01:50,0,CGI80003,26.88450,75.81270,CGI80003,26.88450,75.81270,919810051914,356000000000102,404450000000102,,HOME,MSC2202,TG110,TG102
PAN500032,9170000002,MO,VOICE,9300000032,5500000032,JIO,2026-10-11 00:02:12,0,CGI80004,26.95670,75.74210,CGI80004,26.95670,75.74210,919890051914,356000000000102,404450000000102,,HOME,MSC3303,TG103,TG104
